"case_id","ticker","claim_text","claim_type","expected_verdict","source_ids","annotator_1","annotator_2","adjudicated_verdict","notes","status"
"gold-001","AMZN","AWS sales increased 17% year over year in Q1 2024.","quantitative","supported","amzn-q1-2024-aws-growth","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-002","AMZN","Amazon operating income rose from $4.8 billion to $15.3 billion in Q1 2024.","quantitative","supported","amzn-q1-2024-operating-income","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-003","AMZN","Generative AI was the primary driver of AWS growth.","causal","no_evidence","","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-004","AMZN","AWS Trainium had surpassed NVIDIA in inference market share.","general","no_evidence","","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-005","MRVL","Marvell Q2 FY2025 net revenue was $1.273 billion.","quantitative","supported","mrvl-q2-2025-revenue","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-006","MRVL","Management attributed sequential growth to strong AI demand.","management_statement","supported","mrvl-q2-2025-ai-demand","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-007","MRVL","Marvell GAAP gross margin was 61.9%.","quantitative","conflicted","mrvl-q2-2025-margin","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-008","MRVL","Custom AI programs guaranteed four quarters of acceleration.","forward_looking","no_evidence","","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-009","NVDA","NVIDIA Q1 FY2025 revenue was $26.0 billion.","quantitative","supported","nvda-q1-2025-revenue","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-010","NVDA","Data Center revenue was $22.6 billion, up 427%.","quantitative","supported","nvda-q1-2025-data-center","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-011","NVDA","Inference was exactly 40% of Q1 Data Center revenue.","quantitative","conflicted","nvda-q1-2025-inference","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-012","NVDA","Blackwell shipments were already at full scale in Q1 FY2025.","forward_looking","conflicted","nvda-q1-2025-blackwell","","","","Seed expectation; requires independent human review.","seed-not-human-labeled"
"gold-013","AMZN","","","","","","","","","pending-human-label"
"gold-014","MRVL","","","","","","","","","pending-human-label"
"gold-015","NVDA","","","","","","","","","pending-human-label"
"gold-016","AMZN","","","","","","","","","pending-human-label"
"gold-017","MRVL","","","","","","","","","pending-human-label"
"gold-018","NVDA","","","","","","","","","pending-human-label"
"gold-019","AMZN","","","","","","","","","pending-human-label"
"gold-020","MRVL","","","","","","","","","pending-human-label"
"gold-021","NVDA","","","","","","","","","pending-human-label"
"gold-022","AMZN","","","","","","","","","pending-human-label"
"gold-023","MRVL","","","","","","","","","pending-human-label"
"gold-024","NVDA","","","","","","","","","pending-human-label"
"gold-025","AMZN","","","","","","","","","pending-human-label"
"gold-026","MRVL","","","","","","","","","pending-human-label"
"gold-027","NVDA","","","","","","","","","pending-human-label"
"gold-028","AMZN","","","","","","","","","pending-human-label"
"gold-029","MRVL","","","","","","","","","pending-human-label"
"gold-030","NVDA","","","","","","","","","pending-human-label"
"gold-031","AMZN","","","","","","","","","pending-human-label"
"gold-032","MRVL","","","","","","","","","pending-human-label"
"gold-033","NVDA","","","","","","","","","pending-human-label"
"gold-034","AMZN","","","","","","","","","pending-human-label"
"gold-035","MRVL","","","","","","","","","pending-human-label"
"gold-036","NVDA","","","","","","","","","pending-human-label"
"gold-037","AMZN","","","","","","","","","pending-human-label"
"gold-038","MRVL","","","","","","","","","pending-human-label"
"gold-039","NVDA","","","","","","","","","pending-human-label"
"gold-040","AMZN","","","","","","","","","pending-human-label"
"gold-041","MRVL","","","","","","","","","pending-human-label"
"gold-042","NVDA","","","","","","","","","pending-human-label"
"gold-043","AMZN","","","","","","","","","pending-human-label"
"gold-044","MRVL","","","","","","","","","pending-human-label"
"gold-045","NVDA","","","","","","","","","pending-human-label"
"gold-046","AMZN","","","","","","","","","pending-human-label"
"gold-047","MRVL","","","","","","","","","pending-human-label"
"gold-048","NVDA","","","","","","","","","pending-human-label"
"gold-049","AMZN","","","","","","","","","pending-human-label"
"gold-050","MRVL","","","","","","","","","pending-human-label"
"gold-051","NVDA","","","","","","","","","pending-human-label"
"gold-052","AMZN","","","","","","","","","pending-human-label"
"gold-053","MRVL","","","","","","","","","pending-human-label"
"gold-054","NVDA","","","","","","","","","pending-human-label"
"gold-055","AMZN","","","","","","","","","pending-human-label"
"gold-056","MRVL","","","","","","","","","pending-human-label"
"gold-057","NVDA","","","","","","","","","pending-human-label"
"gold-058","AMZN","","","","","","","","","pending-human-label"
"gold-059","MRVL","","","","","","","","","pending-human-label"
"gold-060","NVDA","","","","","","","","","pending-human-label"
"gold-061","AMZN","","","","","","","","","pending-human-label"
"gold-062","MRVL","","","","","","","","","pending-human-label"
"gold-063","NVDA","","","","","","","","","pending-human-label"
"gold-064","AMZN","","","","","","","","","pending-human-label"
"gold-065","MRVL","","","","","","","","","pending-human-label"
"gold-066","NVDA","","","","","","","","","pending-human-label"
"gold-067","AMZN","","","","","","","","","pending-human-label"
"gold-068","MRVL","","","","","","","","","pending-human-label"
"gold-069","NVDA","","","","","","","","","pending-human-label"
"gold-070","AMZN","","","","","","","","","pending-human-label"
"gold-071","MRVL","","","","","","","","","pending-human-label"
"gold-072","NVDA","","","","","","","","","pending-human-label"
"gold-073","AMZN","","","","","","","","","pending-human-label"
"gold-074","MRVL","","","","","","","","","pending-human-label"
"gold-075","NVDA","","","","","","","","","pending-human-label"
"gold-076","AMZN","","","","","","","","","pending-human-label"
"gold-077","MRVL","","","","","","","","","pending-human-label"
"gold-078","NVDA","","","","","","","","","pending-human-label"
"gold-079","AMZN","","","","","","","","","pending-human-label"
"gold-080","MRVL","","","","","","","","","pending-human-label"
"gold-081","NVDA","","","","","","","","","pending-human-label"
"gold-082","AMZN","","","","","","","","","pending-human-label"
"gold-083","MRVL","","","","","","","","","pending-human-label"
"gold-084","NVDA","","","","","","","","","pending-human-label"
"gold-085","AMZN","","","","","","","","","pending-human-label"
"gold-086","MRVL","","","","","","","","","pending-human-label"
"gold-087","NVDA","","","","","","","","","pending-human-label"
"gold-088","AMZN","","","","","","","","","pending-human-label"
"gold-089","MRVL","","","","","","","","","pending-human-label"
"gold-090","NVDA","","","","","","","","","pending-human-label"
"gold-091","AMZN","","","","","","","","","pending-human-label"
"gold-092","MRVL","","","","","","","","","pending-human-label"
"gold-093","NVDA","","","","","","","","","pending-human-label"
"gold-094","AMZN","","","","","","","","","pending-human-label"
"gold-095","MRVL","","","","","","","","","pending-human-label"
"gold-096","NVDA","","","","","","","","","pending-human-label"
"gold-097","AMZN","","","","","","","","","pending-human-label"
"gold-098","MRVL","","","","","","","","","pending-human-label"
"gold-099","NVDA","","","","","","","","","pending-human-label"
"gold-100","AMZN","","","","","","","","","pending-human-label"
"gold-101","MRVL","","","","","","","","","pending-human-label"
"gold-102","NVDA","","","","","","","","","pending-human-label"
"gold-103","AMZN","","","","","","","","","pending-human-label"
"gold-104","MRVL","","","","","","","","","pending-human-label"
"gold-105","NVDA","","","","","","","","","pending-human-label"
"gold-106","AMZN","","","","","","","","","pending-human-label"
"gold-107","MRVL","","","","","","","","","pending-human-label"
"gold-108","NVDA","","","","","","","","","pending-human-label"
"gold-109","AMZN","","","","","","","","","pending-human-label"
"gold-110","MRVL","","","","","","","","","pending-human-label"
"gold-111","NVDA","","","","","","","","","pending-human-label"
"gold-112","AMZN","","","","","","","","","pending-human-label"
"gold-113","MRVL","","","","","","","","","pending-human-label"
"gold-114","NVDA","","","","","","","","","pending-human-label"
"gold-115","AMZN","","","","","","","","","pending-human-label"
"gold-116","MRVL","","","","","","","","","pending-human-label"
"gold-117","NVDA","","","","","","","","","pending-human-label"
"gold-118","AMZN","","","","","","","","","pending-human-label"
"gold-119","MRVL","","","","","","","","","pending-human-label"
"gold-120","NVDA","","","","","","","","","pending-human-label"
